id,latitude,longitude,propertyType,priceChangePercentTotal,energyClass,price,rooms,size,lotSize,floor,buildYear,city,zipCode,street,squaremeterPrice,basementSize
1831310,55.68588,12.48374,5,0,C,774539,2,60,0,1,1936,Vanløse,2720,"Grønnehøj 21, 1. th.",0,0
1831910,55.71205,12.53673,5,0,D,836537,2,63,0,3,1942,København NV,2400,Tagensvej 196D  3. tv.,0,0
1831873,55.70668,12.53652,3,0,C,1748000,1,38,0,2,1935,København NV,2400,"Teglbrændervej 4, 2. tv.",46000,0
1831872,55.69444,12.49196,3,0,C,1995000,2,57,0,1,1936,Vanløse,2720,"Markskellet 17, 1. tv.",35000,0
1831884,55.71659,12.45988,3,0,D,1995000,3,62,0,3,1954,Brønshøj,2700,Frederikssundsvej 416  3. th.,32177,0
1831335,55.64691,12.61663,3,0,F,2095000,2,50,0,2,1939,København S,2300,"Jansvej 2, 2.  nr. 3",41900,0
1831852,55.6615,12.62799,5,0,B,2194903,4,108,0,1,2004,København S,2300,"Øresundsvej 142C, 1. tv",0,0
1831919,55.66504,12.48429,3,0,D,2195000,2,61,0,2,1939,Valby,2500,"Nakskovvej 160, 2 th",35983,0
1831853,55.65447,12.63215,4,0,-,2200000,3,28,210,,1986,København S,2300,Engvej 65N,78571,0
1831918,55.66226,12.60633,3,0,C,2495000,2,51,0,3,1940,København S,2300,"Reberbanegade 39, 3 tv",48921,0
1832110,55.69377,12.54453,3,0,C,2995000,1,55,0,5,1969,København N,2200,"Husumgade 31, 5 18",54454,0
1832152,55.68154,12.52282,3,0,C,3095000,2,50,0,1,1884,Frederiksberg,2000,Nordre Fasanvej 26  1. tv.,61900,0
1832151,55.70584,12.52545,3,0,C,3195000,3,64,0,,1974,København NV,2400,Theklavej 47  st. 60.,49921,0
1832149,55.70628,12.53315,3,0,D,3295000,3,70,0,2,1935,København NV,2400,Bisiddervej 10  2. tv.,47071,0
1831878,55.65972,12.61299,3,0,C,3695000,3,68,0,3,1935,København S,2300,"Rumæniensgade 12, 3. tv.",54338,0
1831874,55.71198,12.57101,3,0,D,3750000,2,74,0,3,1979,København Ø,2100,"Drejøgade 35, 3. 29.",50675,0
1832037,55.7005,12.46796,1,0,D,3750000,2,80,502,,1932,Brønshøj,2700,Lillevang 3,46875,0
1832123,55.68074,12.52074,3,0,D,3795000,2,66,0,2,1969,Frederiksberg,2000,"Finsensvej 5C, 2 mf",57500,0
1831911,55.64758,12.53278,3,0,D,3995000,3,84,0,2,1932,København SV,2450,"Wagnersvej 8, 2 tv",47559,0
1832036,55.6945,12.53175,3,0,C,3995000,3,88,0,4,1991,Frederiksberg,2000,Borups Alle 134B  4. th.,45397,0
1831998,55.65,12.52703,3,0,C,4200000,4,103,4205,3,1939,København SV,2450,"Ellebjergvej 1, 3.",40776,0
1831804,55.68504,12.56515,3,0,C,4850000,2,76,0,1,1875,København K,1363,"Vendersgade 31A, 1.",63815,0
1832031,55.71148,12.5662,3,0,D,4850000,4,89,0,2,1932,København Ø,2100,Victor Bendix Gade 9  2. th.,54494,0
1832124,55.62346,12.57116,2,0,J,4895000,5,105,64,,2016,København S,2300,Richard Mortensens Vej 10S,46619,0
1831879,55.66538,12.62197,3,0,J,4995000,4,93,0,3,2015,København S,2300,"Strandlodsvej 13B, 3. th.",53709,0
1831925,55.62421,12.6183,1,0,F,4995000,5,158,680,,1936,Kastrup,2770,Herkules Alle 34,31613,79
1832113,55.61101,12.59311,1,0,C,5495000,7,150,835,,1980,Kastrup,2770,Oliefabriksvej 224,36633,0
1832111,55.6655,12.62517,3,0,I,5795000,4,108,0,2,2021,København S,2300,"Strandlodsvej 23F, 2 tv",53657,0
1832005,55.66241,12.63117,3,0,C,5995000,3,109,0,,2007,København S,2300,"Sundby Parkvej 10, st. tv",55000,0
1832112,55.6167,12.57197,3,0,B,5995000,3,104,0,5,2010,København S,2300,"Robert Jacobsens Vej 82, 5 3",57644,0
1831917,55.70717,12.59861,3,0,J,6245000,2,100,0,5,2017,Nordhavn,2150,"Murmanskgade 3, 5 th",62450,0
1831985,55.60008,12.63658,2,0,C,6500000,5,225,519,,1857,Dragør,2791,Hovedgaden 11G,28888,0
1832025,55.63678,12.62842,1,0,C,6995000,4,170,382,,1905,Kastrup,2770,Cypres Alle 1,41147,0
1831908,55.66535,12.53271,3,0,J,7495000,6,133,0,2,2022,København V,1799,"Fadet 16, 2 tv",56353,0
1832006,55.64704,12.62663,1,0,D,7495000,5,124,980,,1957,København S,2300,Wibrandtsvej 70,60443,0
1832125,55.66019,12.63298,3,0,J,10000000,4,133,0,4,2018,København S,2300,"Amager Strandvej 112N, 4 tv",75187,0
1832007,55.66156,12.48514,1,0,C,10750000,7,230,837,,1910,Valby,2500,Vigerslevstræde 23,46739,0
1831797,55.68921,12.53507,3,0,E,11000000,5,143,909,1,1899,Frederiksberg,2000,"Dronning Olgas Vej 28, 1.",76923,22
1831709,55.6618,12.48271,3,0,D,1698000,2,50,0,1,1940,Valby,2500,"Skyttegårdvej 1, 1. tv.",33960,0
1831470,55.69795,12.5347,3,0,K,1950000,2,42,0,1,2014,København NV,2400,"Glentevej 10, 1 9",46428,0
1831593,55.70543,12.50757,3,0,D,1995000,2,58,0,2,1934,Brønshøj,2700,"Frederikssundsvej 129B, 2 tv",34396,0
1831696,55.64543,12.61852,3,0,C,1995000,2,58,0,2,1935,København S,2300,"Tønnesvej 12, 2. TH",34396,0
1831425,55.69768,12.54609,3,0,C,2698000,2,60,0,1,1974,København N,2200,"Thyrasgade 4, 1. 203.",44966,0
1831613,55.63269,12.64144,3,0,D,2795000,3,65,0,2,1950,Kastrup,2770,John Tranums Alle 15  2. tv.,43000,0
1831615,55.68897,12.52883,3,0,D,2795000,2,48,0,2,1897,Frederiksberg,2000,Nordre Fasanvej 112  2. tv.,58229,0
1831697,55.70039,12.54656,3,0,D,2895000,2,65,0,,1901,København N,2200,"Baldersgade 46, st..",44538,0
1831692,55.68296,12.47855,3,0,D,3495000,3,72,0,,1967,Vanløse,2720,"Hyltebjerg Allé 76B, st.. tv.",48541,0
1831326,55.70103,12.5805,3,0,C,3900000,2,66,0,4,1976,København Ø,2100,"Nordre Frihavnsgade 24, 4.  nr. 2",59090,0
1831660,55.71133,12.57057,3,0,C,3995000,3,73,0,2,1969,København Ø,2100,"Nygårdsvej 41D, 2 th",54726,0
1831702,55.65042,12.61352,3,0,D,3995000,3,80,0,,1937,København S,2300,"Rodosvej 6, st..",49937,61
1831468,55.67995,12.50694,3,0,C,4195000,3,75,0,3,1933,Frederiksberg,2000,"H. Schneekloths Vej 13, 3 tv",55933,0
1831712,55.62196,12.61553,2,0,C,4250000,4,108,355,,1969,Kastrup,2770,Vejstrup Alle 13,39351,0
1831503,55.61947,12.6114,1,0,D,4395000,5,104,332,,1954,Kastrup,2770,Jacob Appels Alle 94,42259,52
4164,55.64306,12.53552,1,0,,4495000,4,96,365,,1950,København SV,2450,,46822,36
1831703,55.66691,12.58237,3,0,C,4595000,3,84,0,3,2007,København S,2300,"Weidekampsgade 39, 3. tv",54702,0
1831700,55.66035,12.61396,3,0,D,4795000,4,102,0,2,1906,København S,2300,"Kastrupvej 2, 2. th.",47009,0
1831469,55.6835,12.55615,3,0,-,4995000,5,105,0,1,1897,København N,2200,"Åboulevard 14, 1 tv",47571,0
1831663,55.56992,12.61759,1,0,D,4995000,4,161,873,,1976,Dragør,2791,Birkevej 29,31024,0
1831378,55.66242,12.6309,3,0,c,5150000,3,90,0,1,2007,København S,2300,"Sundby Parkvej 8, 1. th",57222,0
1831600,55.6094,12.57871,1,0,E,5250000,5,163,720,,1972,Kastrup,2770,Egtvedvej 33,32208,0
